id,infinitive,past,pastParticiple,meening,createdAt,updatedAt
1,"To awake ",Awoke,-,awaked,"2021-10-07 12:48:42","2021-10-07 12:48:42"
2,"To abide, ",abode,abode,Habitar;suportar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
3,"Infinitive Past ",Past,Participle,Translation,"2021-10-07 12:48:42","2021-10-07 12:48:42"
4,"To be ",Was,-were,been,"2021-10-07 12:48:42","2021-10-07 12:48:42"
5,"To arise ",arose,arisen,Surgir;elevar-se,"2021-10-07 12:48:42","2021-10-07 12:48:42"
6,"To bear ",bore,Born,-,"2021-10-07 12:48:42","2021-10-07 12:48:42"
7,"To beat ",beat,beaten,Bater;derrotar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
8,"To become ",became,become,Tornar-se,"2021-10-07 12:48:42","2021-10-07 12:48:42"
9,"To befall ",befell,befallen,Acontecer;suceder,"2021-10-07 12:48:42","2021-10-07 12:48:42"
10,"To beget ",begot,begotten,Gerar;produzir,"2021-10-07 12:48:42","2021-10-07 12:48:42"
11,"To begin ",began,begun,Começar;principiar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
12,"To behold ",beheld,beheld,Ver;observar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
13,"To bend ",bent,bent,Curvar-se;inclinar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
14,"To beseech ",besought,besought,Implorar;rogar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
15,"To bet ",bet,bet,apostar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
16,"To bid ",bade,bidden,Ordenar;saudar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
17,"To bid ",bid,bid,Fazer,"2021-10-07 12:48:42","2021-10-07 12:48:42"
18,"To bind ",bound,bound,Ligar;contratar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
19,"To bite ",bit,bitten,Morder;picar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
20,"To bleed ",bled,bled,sangrar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
21,"To blow ",blew,blown,Soprar;tocar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
22,"To break ",broke,broken,Quebrar;interromper,"2021-10-07 12:48:42","2021-10-07 12:48:42"
23,"To breed ",bred,bred,Criar;educar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
24,"To bring ",brought,brought,trazer,"2021-10-07 12:48:42","2021-10-07 12:48:42"
25,"To broadcast ",broadcast,broadcast,Emitir;radiofonizar,"2021-10-07 12:48:42","2021-10-07 12:48:42"
